# Temperature-dependent Standard-Model effective degrees of freedom.
# Husdal (2016), Table A1, 170 MeV QCD-transition branch.
T_GeV,g_rho,g_p,g_s
2.348223313e-13,3.36,3.36,3.91
1.0e-5,3.36,3.36,3.91
2.0e-5,3.36,3.36,3.91
5.0e-5,3.39,3.37,3.93
1.0e-4,4.46,3.84,4.78
2.0e-4,7.66,6.20,7.55
5.0e-4,10.16,9.43,10.03
1.0e-3,10.60,10.36,10.56
2.0e-3,10.71,10.65,10.70
5.0e-3,10.74,10.73,10.74
1.0e-2,10.76,10.75,10.76
2.0e-2,11.33,10.99,11.25
5.0e-2,14.63,13.40,14.32
1.0e-1,18.00,16.21,17.55
1.3e-1,21.76,18.16,20.86
1.4e-1,23.77,19.05,22.59
1.5e-1,26.32,20.13,24.77
1.6e-1,29.51,21.42,27.49
1.7e-1,33.47,22.98,30.84
1.8e-1,61.87,61.07,61.67
1.9e-1,62.03,61.21,61.83
2.0e-1,62.21,61.34,61.99
2.14e-1,62.49,61.52,62.25
5.0e-1,69.26,66.43,68.55
1.0,76.34,72.97,75.50
2.0,82.50,79.69,81.80
5.0,85.60,84.68,85.37
10.0,86.22,85.85,86.13
20.0,88.45,87.22,88.14
50.0,97.40,93.94,96.53
100.0,103.53,100.80,102.85
200.0,105.90,104.75,105.61
500.0,106.61,106.38,106.56
1000.0,106.72,106.65,106.70
2000.0,106.74,106.73,106.74
5000.0,106.75,106.75,106.75
10000.0,106.75,106.75,106.75
